date,time,heartRate
2021-01-13,23:31,80
2021-01-13,23:32,75
2021-01-13,23:34,83
2021-01-13,23:35,80
2021-01-13,23:36,77
2021-01-13,23:37,78
2021-01-13,23:38,78
2021-01-13,23:39,79
2021-01-13,23:40,75
2021-01-13,23:41,76
2021-01-13,23:42,79
2021-01-13,23:43,90
2021-01-13,23:44,76
2021-01-13,23:45,80
2021-01-13,23:46,79
2021-01-13,23:47,76
2021-01-13,23:48,80
2021-01-13,23:49,99
2021-01-13,23:50,89
2021-01-13,23:51,93
2021-01-13,23:52,88
2021-01-13,23:53,81
2021-01-13,23:54,78
2021-01-13,23:55,84
2021-01-13,23:56,91
2021-01-13,23:57,95
2021-01-13,23:58,82
2021-01-13,23:59,77
2021-01-14,00:00,76
